tabla,id,campo,valor_actual,valor_nuevo,fila_origen_evidencia,preliminar_id,motivo,seguro_si_no
focalizacion_final,26,"municipio_id, municipio_texto",728|PUERTO LLERAS,722|PUERTO CONCORDIA,402,559,Linaje exacto fila_origen 402: final 26 debe usar el municipio explícito del XLSX.,SI
focalizacion_final,189,"municipio_id, municipio_texto",268|CUMARAL,87|BARRANCA DE UPÍA,29,186,Linaje exacto fila_origen 29: final 189 debe usar el municipio explícito del XLSX.,SI
focalizacion_final,190,"municipio_id, municipio_texto",268|CUMARAL,87|BARRANCA DE UPÍA,30,187,Linaje exacto fila_origen 30: final 190 debe usar el municipio explícito del XLSX.,SI
focalizacion_final,191,"municipio_id, municipio_texto",268|CUMARAL,87|BARRANCA DE UPÍA,31,188,Linaje exacto fila_origen 31: final 191 debe usar el municipio explícito del XLSX.,SI
focalizacion_final,192,"municipio_id, municipio_texto",268|CUMARAL,87|BARRANCA DE UPÍA,32,189,Linaje exacto fila_origen 32: final 192 debe usar el municipio explícito del XLSX.,SI
focalizacion_final,247,"municipio_id, municipio_texto",861|SAN LUIS DE CUBARRAL,304|EL DORADO,87,244,Linaje exacto fila_origen 87: final 247 debe usar el municipio explícito del XLSX.,SI
focalizacion_final,248,"municipio_id, municipio_texto",861|SAN LUIS DE CUBARRAL,304|EL DORADO,88,245,Linaje exacto fila_origen 88: final 248 debe usar el municipio explícito del XLSX.,SI
focalizacion_final,249,"municipio_id, municipio_texto",861|SAN LUIS DE CUBARRAL,304|EL DORADO,89,246,Linaje exacto fila_origen 89: final 249 debe usar el municipio explícito del XLSX.,SI
focalizacion_final,250,"municipio_id, municipio_texto",861|SAN LUIS DE CUBARRAL,304|EL DORADO,90,247,Linaje exacto fila_origen 90: final 250 debe usar el municipio explícito del XLSX.,SI
focalizacion_final,547,"municipio_id, municipio_texto",728|PUERTO LLERAS,722|PUERTO CONCORDIA,393,550,Linaje exacto fila_origen 393: final 547 debe usar el municipio explícito del XLSX.,SI
focalizacion_final,548,"municipio_id, municipio_texto",728|PUERTO LLERAS,722|PUERTO CONCORDIA,394,551,Linaje exacto fila_origen 394: final 548 debe usar el municipio explícito del XLSX.,SI
focalizacion_final,549,"municipio_id, municipio_texto",728|PUERTO LLERAS,722|PUERTO CONCORDIA,395,552,Linaje exacto fila_origen 395: final 549 debe usar el municipio explícito del XLSX.,SI
focalizacion_final,550,"municipio_id, municipio_texto",728|PUERTO LLERAS,722|PUERTO CONCORDIA,396,553,Linaje exacto fila_origen 396: final 550 debe usar el municipio explícito del XLSX.,SI
focalizacion_final,551,"municipio_id, municipio_texto",728|PUERTO LLERAS,722|PUERTO CONCORDIA,397,554,Linaje exacto fila_origen 397: final 551 debe usar el municipio explícito del XLSX.,SI
focalizacion_final,552,"municipio_id, municipio_texto",728|PUERTO LLERAS,722|PUERTO CONCORDIA,398,555,Linaje exacto fila_origen 398: final 552 debe usar el municipio explícito del XLSX.,SI
focalizacion_final,553,"municipio_id, municipio_texto",728|PUERTO LLERAS,722|PUERTO CONCORDIA,399,556,Linaje exacto fila_origen 399: final 553 debe usar el municipio explícito del XLSX.,SI
focalizacion_final,554,"municipio_id, municipio_texto",728|PUERTO LLERAS,722|PUERTO CONCORDIA,400,557,Linaje exacto fila_origen 400: final 554 debe usar el municipio explícito del XLSX.,SI
focalizacion_final,555,"municipio_id, municipio_texto",728|PUERTO LLERAS,722|PUERTO CONCORDIA,401,558,Linaje exacto fila_origen 401: final 555 debe usar el municipio explícito del XLSX.,SI
focalizacion_final,736,"municipio_id, municipio_texto",565|MESETAS,1054|URIBE,583,740,Linaje exacto fila_origen 583: final 736 debe usar el municipio explícito del XLSX.,SI
focalizacion_final,737,"municipio_id, municipio_texto",565|MESETAS,1054|URIBE,584,741,Linaje exacto fila_origen 584: final 737 debe usar el municipio explícito del XLSX.,SI
