tipo_entidad,contexto,valor_xlsx,valor_bd,id_bd,filas_afectadas,confianza,accion,causa
MUNICIPIO,GLOBAL,ACACIAS,ACACÍAS,4,50,ALTA,ALIAS_SEGURO,DIFERENCIA_TILDE
MUNICIPIO,GLOBAL,PUERTO LOPEZ,PUERTO LÓPEZ,729,42,ALTA,ALIAS_SEGURO,DIFERENCIA_TILDE
MUNICIPIO,GLOBAL,PUERTO GAITAN,PUERTO GAITÁN,724,36,ALTA,ALIAS_SEGURO,DIFERENCIA_TILDE
MUNICIPIO,GLOBAL,SAN MARTIN,SAN MARTÍN,867,31,ALTA,ALIAS_SEGURO,DIFERENCIA_TILDE
MUNICIPIO,GLOBAL,LEJANIAS,LEJANÍAS,510,22,ALTA,ALIAS_SEGURO,DIFERENCIA_TILDE
INSTITUCION,LA MACARENA,IE NUESTRA SEÑORA DE LA MACARENA,INSTITUCIÓN EDUCATIVA NUESTRA SENORA DE LA MACARENA,44,21,ALTA,ALIAS_SEGURO,ALIAS_CONOCIDO
MUNICIPIO,GLOBAL,MAPIRIPAN,MAPIRIPÁN,547,18,ALTA,ALIAS_SEGURO,DIFERENCIA_TILDE
INSTITUCION,GRANADA,INSTITUCION EDUCATIVA CAMILO TORRES,INSTITUCIÓN EDUCATIVA CAMILO TORRES,30,16,ALTA,ALIAS_SEGURO,ALIAS_CONOCIDO
INSTITUCION,SAN MARTÍN,INSTITUCION EDUCATIVA IRACA,INSTITUCIÓN EDUCATIVA IRACA,101,13,ALTA,ALIAS_SEGURO,ALIAS_CONOCIDO
INSTITUCION,LA MACARENA,INSTITUCION EDUCATIVA SANTA TERESA,INSTITUCIÓN EDUCATIVA SANTA TERESA,47,13,ALTA,ALIAS_SEGURO,ALIAS_CONOCIDO
SEDE,SAN MARTÍN | INSTITUCIÓN EDUCATIVA IRACA,SEDE PRINCIPAL IRACA,SEDE PRINCIPAL IRACA,499,13,ALTA,ALIAS_SEGURO,ALIAS_CONOCIDO
