fila_xlsx,persona_id,vinculacion_id,contrato_id,empresa_id,contrato_cargo_id,tipo_vinculacion_id,fecha_inicio,fecha_fin,estado_vinculacion,cobertura_asignacion_id,focalizacion_final_id,asignacion_laboral_id,ubicacion_laboral_id,presentacion_licitacion_id,perfil_licitacion_id,condicion_economica_id,valor,condicion_vigencia_desde,condicion_vigencia_hasta,tipo_documento_id,tipo_documento_codigo
2,4,250,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,12,173,,,7,1,,,,,1,CEDULA
3,5,251,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,13,172,,,,,,,,,1,CEDULA
4,42,791,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,549,168,,,,,,,,,1,CEDULA
5,6,792,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,550,172,,,,,,,,,1,CEDULA
6,7,793,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,551,19,,,,,,,,,1,CEDULA
7,8,794,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,552,187,,,,,,,,,1,CEDULA
8,237,249,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,11,182,,,,,,,,,1,CEDULA
9,654,795,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,553,19,,,,,,,,,1,CEDULA
10,655,796,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,554,186,,,,,,,,,1,CEDULA
11,9,797,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,555,169,,,,,,,,,1,CEDULA
12,10,252,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,14,169,,,8,1,,,,,1,CEDULA
13,11,798,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,556,170,,,,,,,,,1,CEDULA
14,43,799,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,557,175,,,,,,,,,1,CEDULA
15,13,800,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,558,166,,,,,,,,,1,CEDULA
16,44,801,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,559,185,,,,,,,,,1,CEDULA
17,45,802,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,560,174,,,122,1,,,,,1,CEDULA
18,14,803,24,15,33,1,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),Mon Nov 30 2026 00:00:00 GMT-0500 (hora estándar de Colombia),ACTIVA,561,166,,,,,,,,,1,CEDULA
19,15,804,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,562,182,,,,,,,,,1,CEDULA
20,47,254,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,15,186,,,,,3,1042205.00,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,1,CEDULA
21,18,805,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,563,170,,,,,,,,,1,CEDULA
22,19,806,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,564,166,,,123,1,,,,,1,CEDULA
23,48,807,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,565,186,,,,,,,,,1,CEDULA
24,49,808,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,566,175,,,,,,,,,1,CEDULA
25,23,809,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,567,182,,,,,,,,,1,CEDULA
26,50,810,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,568,167,,,,,,,,,1,CEDULA
27,51,811,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,569,167,,,,,,,,,1,CEDULA
28,24,812,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,570,169,,,,,,,,,1,CEDULA
29,25,813,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,571,188,,,,,,,,,1,CEDULA
30,656,814,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,572,185,,,,,,,,,1,CEDULA
31,26,815,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,573,177,,,124,1,,,,,1,CEDULA
32,27,816,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,574,165,,,,,,,,,1,CEDULA
33,28,817,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,575,187,,,125,1,,,,,1,CEDULA
34,29,818,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,576,173,,,,,,,,,1,CEDULA
35,30,819,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,577,183,,,,,,,,,1,CEDULA
36,31,820,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,578,171,,,126,1,,,,,1,CEDULA
37,52,821,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,579,167,,,127,1,,,,,1,CEDULA
38,53,822,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,580,174,,,,,,,,,1,CEDULA
39,32,823,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,581,183,,,,,,,,,1,CEDULA
40,33,824,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,582,178,,,,,,,,,1,CEDULA
41,54,825,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,583,175,,,128,1,,,,,1,CEDULA
42,34,826,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,584,187,,,,,,,,,1,CEDULA
43,55,827,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,585,186,,,,,,,,,1,CEDULA
44,35,828,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,586,187,,,129,1,,,,,1,CEDULA
45,36,829,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,587,172,,,130,1,,,,,1,CEDULA
46,37,830,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,588,169,,,,,,,,,1,CEDULA
47,56,831,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,589,174,,,131,1,,,,,1,CEDULA
48,38,832,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,590,188,,,,,,,,,1,CEDULA
49,39,833,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,591,184,,,,,,,,,1,CEDULA
50,58,834,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,592,167,,,,,,,,,1,CEDULA
51,40,835,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,593,166,,,,,,,,,1,CEDULA
52,657,836,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,594,189,,,,,,,,,1,CEDULA
53,658,837,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,595,192,,,,,,,,,1,CEDULA
54,659,838,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,596,191,,,,,,,,,1,CEDULA
55,660,839,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,597,190,,,,,,,,,1,CEDULA
56,661,840,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,598,191,,,,,,,,,1,CEDULA
57,662,841,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,599,189,,,,,,,,,1,CEDULA
58,663,842,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,600,189,,,,,,,,,1,CEDULA
59,664,843,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,601,190,,,,,,,,,1,CEDULA
60,665,844,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,602,190,,,,,,,,,1,CEDULA
61,666,845,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,603,190,,,,,,,,,1,CEDULA
62,667,846,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,604,192,,,,,,,,,1,CEDULA
63,668,847,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,605,192,,,,,,,,,1,CEDULA
64,669,848,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,606,190,,,,,,,,,1,CEDULA
65,670,849,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,607,191,,,,,,,,,1,CEDULA
66,671,850,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,608,200,,,,,,,,,1,CEDULA
67,672,851,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,609,201,,,,,,,,,1,CEDULA
68,673,852,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,610,197,,,,,,,,,1,CEDULA
69,674,853,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,611,200,,,,,,,,,1,CEDULA
70,675,854,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,612,200,,,,,,,,,1,CEDULA
71,676,855,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,613,201,,,,,,,,,1,CEDULA
72,677,856,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,614,201,,,,,,,,,1,CEDULA
73,678,857,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,615,200,,,,,,,,,1,CEDULA
74,679,858,24,15,33,1,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,616,194,,,,,,,,,1,CEDULA
75,680,859,24,15,33,2,Fri Aug 14 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,617,194,,,,,,,,,1,CEDULA
76,681,860,24,15,33,1,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),Mon Nov 30 2026 00:00:00 GMT-0500 (hora estándar de Colombia),ACTIVA,618,213,,,,,,,,,1,CEDULA
77,682,861,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,619,212,,,,,,,,,1,CEDULA
78,683,862,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,620,212,,,,,,,,,1,CEDULA
79,684,863,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,621,212,,,,,,,,,1,CEDULA
80,685,864,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,622,213,,,,,,,,,1,CEDULA
81,686,865,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,623,212,,,,,,,,,1,CEDULA
82,687,866,24,15,33,2,Sat Aug 01 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,624,209,,,,,,,,,1,CEDULA
83,688,867,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,625,213,,,,,,,,,1,CEDULA
84,689,868,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,626,213,,,,,,,,,1,CEDULA
85,690,869,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,627,219,,,,,,,,,1,CEDULA
86,691,870,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,628,224,,,,,,,,,1,CEDULA
87,692,871,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,629,216,,,,,,,,,1,CEDULA
88,693,872,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,630,224,,,,,,,,,1,CEDULA
89,694,873,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,631,219,,,,,,,,,1,CEDULA
90,695,874,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,632,219,,,,,,,,,1,CEDULA
91,696,875,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,633,229,,,,,,,,,1,CEDULA
92,697,876,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,634,215,,,,,,,,,1,CEDULA
93,698,877,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,635,214,,,,,,,,,1,CEDULA
94,699,878,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,636,215,,,,,,,,,1,CEDULA
95,700,879,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,637,228,,,,,,,,,1,CEDULA
96,701,880,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,638,219,,,,,,,,,1,CEDULA
97,702,881,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,639,226,,,,,,,,,1,CEDULA
98,703,882,24,15,33,2,Wed Aug 05 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,640,228,,,,,,,,,1,CEDULA
99,704,883,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,641,218,,,,,,,,,1,CEDULA
100,705,884,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,642,229,,,,,,,,,1,CEDULA
101,706,885,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,643,216,,,,,,,,,1,CEDULA
102,707,886,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,644,217,,,,,,,,,1,CEDULA
103,708,887,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,645,224,,,,,,,,,1,CEDULA
104,709,888,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,646,224,,,,,,,,,1,CEDULA
105,710,889,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,647,221,,,,,,,,,1,CEDULA
106,711,890,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,648,229,,,,,,,,,1,CEDULA
107,712,891,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,649,229,,,,,,,,,1,CEDULA
108,713,892,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,650,221,,,,,,,,,1,CEDULA
109,714,893,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,651,215,,,,,,,,,1,CEDULA
110,715,894,24,15,33,2,Wed Jul 29 2026 00:00:00 GMT-0500 (hora estándar de Colombia),,ACTIVA,652,217,,,,,,,,,1,CEDULA
