municipio,institucion,sede,modalidad,requeridas,asignadas_propuestas,diferencia,estado
ACACÍAS,INSTITUCIÓN EDUCATIVA SAN ISIDRO DE CHICHIMENE,SEDE PRINCIPAL SAN ISIDRO DE CHICHIMENE,CAJM/JT-RI,1,0,-1,DEFICIT
ACACÍAS,INSTITUCIÓN EDUCATIVA SAN ISIDRO DE CHICHIMENE,SEDE PRINCIPAL SAN ISIDRO DE CHICHIMENE,CAJU-RI,1,2,1,EXCESO
FUENTE DE ORO,INSTITUCIÓN EDUCATIVA ANTONIO NARINO,SEDE PRINCIPAL ANTONIO NARINO,CAARES,2,2,0,COMPLETA
GUAMAL,INSTITUCIÓN EDUCATIVA JOSE MARIA CORDOBA,SEDE PRINCIPAL JOSE MARIA CORDOBA,CAJM/JT-RI,4,4,0,COMPLETA
LA MACARENA,INSTITUCIÓN EDUCATIVA NUESTRA SENORA DE LA MACARENA,SEDE PRINCIPAL NUESTRA SENORA DE LA MACARENA,CAA-JU,2,0,-2,DEFICIT
LA MACARENA,INSTITUCIÓN EDUCATIVA HECTOR IVAN HERNANDEZ,SEDE BOCANA CANO GRINGO,CAJM/JT-RI,0,0,0,COMPLETA
LA MACARENA,INSTITUCIÓN EDUCATIVA SANTA TERESA,SEDE MONTEBELLO,CAA,1,1,0,COMPLETA
LA MACARENA,INSTITUCIÓN EDUCATIVA SANTA TERESA,SEDE BAJO SAN ANTONIO,CAJM/JT-RI,0,0,0,COMPLETA
PUERTO CONCORDIA,INSTITUCIÓN EDUCATIVA PUERTO IRIS,SEDE LA VALLENATA,CAJU-RI,0,0,0,COMPLETA
VISTAHERMOSA,CENTRO EDUCATIVO PUERTO LUCAS MARGEN DERECHA,SEDE GENERAL SANTANDER,CAJM/JT-RI,0,0,0,COMPLETA
ACACÍAS,INSTITUCIÓN EDUCATIVA ESCUELA NORMAL SUPERIOR DE ACACIAS,SEDE EL PLAYON,CAA,1,1,0,COMPLETA
ACACÍAS,INSTITUCIÓN EDUCATIVA ESCUELA NORMAL SUPERIOR DE ACACIAS,SEDE PRINCIPAL ESCUELA NORMAL SUPERIOR DE ACACIAS,CAJM/JT-RI,4,3,-1,DEFICIT
ACACÍAS,INSTITUCIÓN EDUCATIVA GABRIELA MISTRAL,SEDE PRINCIPAL GABRIELA MISTRAL,CAA,4,3,-1,DEFICIT
ACACÍAS,INSTITUCIÓN EDUCATIVA GABRIELA MISTRAL,SEDE SAN NICOLAS,CAJM/JT-RI,1,1,0,COMPLETA
ACACÍAS,INSTITUCIÓN EDUCATIVA JUAN ROZO,SEDE ANTONIO NARINO,CAA,4,4,0,COMPLETA
ACACÍAS,INSTITUCIÓN EDUCATIVA JUAN ROZO,SEDE ENRIQUE DANIELS,CAJM/JT-RI,2,0,-2,DEFICIT
ACACÍAS,INSTITUCIÓN EDUCATIVA JUAN ROZO,SEDE PABLO SEXTO,CAJM/JT-RI,1,1,0,COMPLETA
ACACÍAS,INSTITUCIÓN EDUCATIVA JUAN ROZO,SEDE PRINCIPAL JUAN ROZO,CAJM/JT-RI,3,3,0,COMPLETA
ACACÍAS,INSTITUCIÓN EDUCATIVA JUAN ROZO,SEDE RAFAEL POMBO,CAJM/JT-RI,2,2,0,COMPLETA
ACACÍAS,INSTITUCIÓN EDUCATIVA LUIS CARLOS GALAN SARMIENTO,SEDE PRINCIPAL LUIS CARLOS GALAN SARMIENTO,CAJM/JT-RI,3,3,0,COMPLETA
ACACÍAS,INSTITUCIÓN EDUCATIVA MARIA MONTESSORI,SEDE PRINCIPAL MARIA MONTESSORI,CAJM/JT-RI,3,3,0,COMPLETA
ACACÍAS,INSTITUCIÓN EDUCATIVA SAN ISIDRO DE CHICHIMENE,SEDE EL TRIUNFO,CAJM/JT-RI,0,0,0,COMPLETA
ACACÍAS,INSTITUCIÓN EDUCATIVA SAN ISIDRO DE CHICHIMENE,SEDE LA ESMERALDA,CAA,1,1,0,COMPLETA
ACACÍAS,INSTITUCIÓN EDUCATIVA SAN ISIDRO DE CHICHIMENE,SEDE LA UNION,CAA,1,1,0,COMPLETA
ACACÍAS,INSTITUCIÓN EDUCATIVA SAN ISIDRO DE CHICHIMENE,SEDE LOMA DE TIGRE,CAJM/JT-RI,0,0,0,COMPLETA
ACACÍAS,INSTITUCIÓN EDUCATIVA SAN ISIDRO DE CHICHIMENE,SEDE MANUELA BELTRAN,CAJM/JT-RI,0,0,0,COMPLETA
ACACÍAS,INSTITUCIÓN EDUCATIVA SAN ISIDRO DE CHICHIMENE,SEDE MONTEBELLO,CAJM/JT-RI,0,0,0,COMPLETA
ACACÍAS,INSTITUCIÓN EDUCATIVA SAN ISIDRO DE CHICHIMENE,SEDE PRINCIPAL SAN ISIDRO DE CHICHIMENE,CAA-JU,3,3,0,COMPLETA
ACACÍAS,INSTITUCIÓN EDUCATIVA SAN ISIDRO DE CHICHIMENE,SEDE PRINCIPAL SAN ISIDRO DE CHICHIMENE,CAARES,2,2,0,COMPLETA
ACACÍAS,INSTITUCIÓN EDUCATIVA SAN ISIDRO DE CHICHIMENE,SEDE SANTA ROSA,CAA,1,1,0,COMPLETA
ACACÍAS,INSTITUCIÓN EDUCATIVA PABLO EMILIO RIVEROS,SEDE EL DORADO,CAJM/JT-RI,2,2,0,COMPLETA
ACACÍAS,INSTITUCIÓN EDUCATIVA PABLO EMILIO RIVEROS,SEDE PRINCIPAL PABLO EMILIO RIVEROS,CAJM/JT-RI,4,3,-1,DEFICIT
ACACÍAS,INSTITUCIÓN EDUCATIVA JUAN HUMBERTO BAQUERO SOLER,SEDE PRINCIPAL EL CARMEN,CAA,4,4,0,COMPLETA
ACACÍAS,INSTITUCIÓN EDUCATIVA JUAN HUMBERTO BAQUERO SOLER,SEDE JUAN HUMBERTO BAQUERO SOLER,CAJM/JT-RI,2,2,0,COMPLETA
BARRANCA DE UPÍA,INSTITUCIÓN EDUCATIVA FRANCISCO WALTER,SEDE JORGE ELIECER GAITAN,CAJU-RI,3,3,0,COMPLETA
BARRANCA DE UPÍA,INSTITUCIÓN EDUCATIVA FRANCISCO WALTER,SEDE JORGE ELIECER GAITAN,CAA-JU,5,5,0,COMPLETA
BARRANCA DE UPÍA,INSTITUCIÓN EDUCATIVA FRANCISCO WALTER,SEDE PRINCIPAL FRANCISCO WALTER,CAJM/JT-RI,3,3,0,COMPLETA
BARRANCA DE UPÍA,INSTITUCIÓN EDUCATIVA FRANCISCO WALTER,SEDE PRINCIPAL FRANCISCO WALTER,CAA,3,3,0,COMPLETA
CABUYARO,CENTRO EDUCATIVO SAN FELIPE,SEDE LA EMBAJADA,CAJM/JT-RI,0,0,0,COMPLETA
CABUYARO,CENTRO EDUCATIVO SAN FELIPE,SEDE PRINCIPAL SAN FELIPE,CAJM/JT-RI,1,1,0,COMPLETA
CABUYARO,CENTRO EDUCATIVO SAN FELIPE,SEDE SANTA ISABEL,CAJM/JT-RI,0,0,0,COMPLETA
CABUYARO,CENTRO EDUCATIVO YARICO,SEDE EL VERGEL,CAJM/JT-RI,0,0,0,COMPLETA
CABUYARO,CENTRO EDUCATIVO YARICO,SEDE LOS MANGOS,CAJM/JT-RI,1,1,0,COMPLETA
CABUYARO,CENTRO EDUCATIVO YARICO,SEDE PALOMAS,CAJM/JT-RI,0,0,0,COMPLETA
CABUYARO,CENTRO EDUCATIVO YARICO,SEDE SAN PEDRO,CAJM/JT-RI,0,0,0,COMPLETA
CABUYARO,INSTITUCIÓN EDUCATIVA CABUYARO,SEDE PRINCIPAL CABUYARO,CAJM/JT-RI,4,4,0,COMPLETA
CABUYARO,INSTITUCIÓN EDUCATIVA CABUYARO,SEDE PRINCIPAL CABUYARO,CAARES,3,3,0,COMPLETA
CASTILLA LA NUEVA,CENTRO EDUCATIVO CASTILLA LA NUEVA,SEDE ALTO BETANIA,CAJU-RI,0,0,0,COMPLETA
CASTILLA LA NUEVA,CENTRO EDUCATIVO CASTILLA LA NUEVA,SEDE CANO GRANDE,CAJU-RI,0,0,0,COMPLETA
CASTILLA LA NUEVA,CENTRO EDUCATIVO CASTILLA LA NUEVA,SEDE EL PROGRESO,CAJU-RI,0,0,0,COMPLETA
CASTILLA LA NUEVA,CENTRO EDUCATIVO CASTILLA LA NUEVA,SEDE LA REPRESA,CAJU-RI,0,0,0,COMPLETA
CASTILLA LA NUEVA,CENTRO EDUCATIVO CASTILLA LA NUEVA,SEDE EL TORO,CAJU-RI,0,0,0,COMPLETA
CASTILLA LA NUEVA,CENTRO EDUCATIVO CASTILLA LA NUEVA,SEDE EL TRIUNFO,CAJU-RI,0,0,0,COMPLETA
