"archivo","hoja","columna_origen","ejemplo_valor","clasificacion","destino_propuesto","tabla_destino","campo_destino","ya_existe_en_empiria","requiere_catalogo","requiere_normalizacion","es_sensible","accion_propuesta","observaciones"
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Marca temporal","Wed Jun 10 2026 13:31:38 GMT-0500 (hora estándar de Colombia)","NO_IMPORTAR","","","","false","false","false","false","IGNORAR","Solo sirve para trazabilidad y resolucion de duplicados."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Nombres y apellidos (mayúsculas, sin tildes)","JHOANA LILIANA OLIVERO CASTRO ","PERSONA_MAESTRA","nombre_diagnostico","personas","primer_nombre/primer_apellido","true","false","true","false","REUTILIZAR_MAESTRO","Se usa para diagnostico y conciliacion; no es la identidad primaria."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Cédula (sin puntos)","52970050","PERSONA_MAESTRA","numero_documento","persona_identificaciones","numero_documento","true","false","true","false","REUTILIZAR_MAESTRO","Identidad canonica principal del formulario."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Edad","41 a 45","CALCULABLE","edad","personas","fecha_nacimiento","true","false","false","false","CALCULAR","Se recalcula desde fecha de nacimiento; no debe persistirse."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Fecha de nacimiento","Wed Mar 10 1982 00:00:16 GMT-0500 (hora estándar de Colombia)","PERSONA_MAESTRA","fecha_nacimiento","personas","fecha_nacimiento","true","false","true","false","REUTILIZAR_MAESTRO","Dato maestro de Persona; solo se reconcilia."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Nacionalidad","Colombiana ","SST_SOCIODEMOGRAFICO","perfil_sst","sst_perfil_demografico","nacionalidad","true","false","true","false","IMPORTAR_SST","Campo soportado por el modelo SST actual."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Departamento de nacimiento","META","NO_DEFINIDO","","","","false","true","true","false","REVISAR","No existe destino oficial actual; no debe crear columna nueva sin decision."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Género","Femenino","PERSONA_MAESTRA","sexo_id","personas","sexo_id","true","true","true","false","REUTILIZAR_MAESTRO","Se compara contra catalogo maestro de sexo."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Departamento de residencia","Meta","NO_DEFINIDO","","","","false","true","true","false","REVISAR","No existe destino oficial directo en el modelo actual."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Municipio donde labora","Lejanias","REDUNDANTE","contexto_laboral","vinculaciones/cobertura","municipio operativo","true","true","true","false","REUTILIZAR_MAESTRO","Dato laboral ya resuelto desde vinculacion/cobertura."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Estrato socioeconómico","2","SST_SOCIODEMOGRAFICO","perfil_sst","sst_perfil_demografico","estrato_socioeconomico","true","true","true","false","IMPORTAR_SST","Campo soportado por el modelo SST actual."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Zona de vivienda","Rural","PERSONA_MAESTRA","zona_id","personas","zona_id","true","true","true","false","REVISAR","Existe en Persona como catalogo; no se persiste via SST sin reconciliacion."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Tipo de vivienda","Familiar","SST_SOCIODEMOGRAFICO","perfil_sst","sst_perfil_demografico","tipo_vivienda","true","true","true","false","IMPORTAR_SST","Campo soportado por el modelo SST actual."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Número de celular (sin espacios)","3134521979","PERSONA_MAESTRA","telefono","personas","telefono","true","false","true","false","REUTILIZAR_MAESTRO","Dato maestro de contacto."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Grupo étnico","Ninguno","SST_SOCIODEMOGRAFICO","perfil_sst","sst_perfil_demografico","grupo_etnico","true","true","true","false","IMPORTAR_SST","Campo soportado por el modelo SST actual."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Nivel de escolaridad","Bachiller","SST_SOCIODEMOGRAFICO","perfil_sst","sst_perfil_demografico","nivel_escolaridad","true","true","true","false","IMPORTAR_SST","Se cruza tambien contra el segundo formulario."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Profesión u ocupación","Manipuladora de alimetos","SST_SOCIODEMOGRAFICO","perfil_sst","sst_perfil_demografico","profesion_ocupacion","true","false","true","false","IMPORTAR_SST","Campo soportado por el modelo SST actual."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Estado civil","Separado","NO_DEFINIDO","","","","false","false","false","false","REVISAR","Columna sin clasificacion previa; requiere revision."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Si aplica, ¿cuántas personas dependen económicamente de usted?","1","SST_SOCIODEMOGRAFICO","perfil_sst","sst_perfil_demografico","personas_dependen_economicamente","true","false","true","false","IMPORTAR_SST","Campo soportado por el modelo SST actual."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","¿Es usted cabeza de familia?","Sí","SST_SOCIODEMOGRAFICO","perfil_sst","sst_perfil_demografico","cabeza_familia","true","false","true","false","IMPORTAR_SST","Campo soportado por el modelo SST actual."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Total de número de hijos","3","SST_SOCIODEMOGRAFICO","perfil_sst","sst_perfil_demografico","total_hijos","true","false","true","false","IMPORTAR_SST","Campo soportado por el modelo SST actual."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Total de hijos que viven con usted","1","SST_SOCIODEMOGRAFICO","perfil_sst","sst_perfil_demografico","hijos_viven_con_usted","true","false","true","false","IMPORTAR_SST","Campo soportado por el modelo SST actual."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Número de hijos menores de edad","1","SST_SOCIODEMOGRAFICO","perfil_sst","sst_perfil_demografico","hijos_menores_edad","true","false","true","false","IMPORTAR_SST","Campo soportado por el modelo SST actual."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Número de hijos mayores de edad","2","SST_SOCIODEMOGRAFICO","perfil_sst","sst_perfil_demografico","hijos_mayores_edad","true","false","true","false","IMPORTAR_SST","Campo soportado por el modelo SST actual."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","¿Tiene usted algún tipo de discapacidad?","No","DATO_SENSIBLE","perfil_sst_restringido","sst_perfil_demografico","tiene_discapacidad","true","false","true","true","IMPORTAR_SST","Debe mantenerse restringido para roles SST/administrador."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Seleccione el tipo de discapacidad","Ninguna","DATO_SENSIBLE","perfil_sst_restringido","sst_perfil_demografico","tipo_discapacidad","true","true","true","true","IMPORTAR_SST","Debe mantenerse restringido para roles SST/administrador."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Seleccione los grupos o redes de apoyo social a los que pertenece","Ninguno","SST_SOCIODEMOGRAFICO","perfil_sst","sst_perfil_demografico","redes_apoyo_social","true","false","true","false","IMPORTAR_SST","Campo soportado por el modelo SST actual."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","NOMBRE del contacto de emergencia","Luz mirian castro","CONTACTO_EMERGENCIA","contacto_emergencia","persona_contactos_emergencia","nombre_contacto","true","false","true","false","IMPORTAR_CONTACTO","Debe reconciliarse antes de cualquier apply."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Parentesco del contacto de emergencia","Madre","CONTACTO_EMERGENCIA","contacto_emergencia","persona_contactos_emergencia","parentesco","true","false","true","false","IMPORTAR_CONTACTO","Debe reconciliarse antes de cualquier apply."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Número de celular del contacto de emergencia (sin espacios)","3134521979","CONTACTO_EMERGENCIA","contacto_emergencia","persona_contactos_emergencia","telefono","true","false","true","false","IMPORTAR_CONTACTO","Debe reconciliarse antes de cualquier apply."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Tipo de sangre y RH","O+","DATO_SENSIBLE","tipo_sangre_id","personas","tipo_sangre_id","true","true","true","true","REVISAR","No debe quedar expuesto como campo SST general sin decision funcional."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Presenta alergias","No","DATO_SENSIBLE","perfil_sst_restringido","sst_perfil_demografico","presenta_alergias","true","false","true","true","IMPORTAR_SST","Debe mantenerse restringido para roles SST/administrador."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Medicamentos permanentes","No","DATO_SENSIBLE","perfil_sst_restringido","sst_perfil_demografico","medicamentos_permanentes","true","false","true","true","IMPORTAR_SST","Debe mantenerse restringido para roles SST/administrador."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","¿Sufre de alguna enfermedad?","No","DATO_SENSIBLE","perfil_sst_restringido","sst_perfil_demografico","enfermedad","true","false","true","true","IMPORTAR_SST","Debe mantenerse restringido para roles SST/administrador."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","¿A qué Entidad Promotora de Salud EPS pertenece?","Salud total","AFILIACION","afiliacion_eps","vinculacion_afiliaciones","eps_id","true","true","true","false","IMPORTAR_AFILIACION","Solo se reconcilia; no debe sobrescribir afiliacion maestra automaticamente."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","¿A qué Aseguradora de Riesgos Laborales ARL pertenece?","SURA","AFILIACION","afiliacion_arl","vinculacion_afiliaciones","arl_id","true","true","true","false","IMPORTAR_AFILIACION","Solo se reconcilia; no debe sobrescribir afiliacion maestra automaticamente."
"Perfil sociodemografico Complementos (respuestas).xlsx","Respuestas de formulario 1","Autorizo que los datos suministrados sean tratados de manera confidencial y utilizados exclusivamente para fines relacionados con el SG-SST.","Sí","SST_SOCIODEMOGRAFICO","perfil_sst","sst_perfil_demografico","autorizacion_tratamiento_datos","true","false","true","false","IMPORTAR_SST","Campo soportado por el modelo SST actual."
"Caracterización adicional (respuestas).xlsx","Respuestas de formulario 1","Marca temporal","Fri Jun 19 2026 17:09:34 GMT-0500 (hora estándar de Colombia)","NO_IMPORTAR","","","","false","false","false","false","IGNORAR","Solo sirve para trazabilidad y resolucion de duplicados."
"Caracterización adicional (respuestas).xlsx","Respuestas de formulario 1","Nombres y apellidos (mayúsculas, sin tildes)","CAROLINA QUIROGA MOLINA","PERSONA_MAESTRA","nombre_diagnostico","personas","primer_nombre/primer_apellido","true","false","true","false","REUTILIZAR_MAESTRO","Se usa para diagnostico y conciliacion; no es la identidad primaria."
