"campo","fuente_maestra","fuente_secundaria","puede_completar_vacio","puede_sobrescribir","requiere_revision_si_difiere","sensibilidad","observaciones"
"fecha_nacimiento","Persona","Formulario digital","PROPUESTO","NO","SI","MAESTRO","Solo completar vacio; no sobrescribir desde SST."
"sexo","Persona","Formulario digital","PROPUESTO","NO","SI","MAESTRO","Se reconcilia contra catalogo maestro."
"estado_civil","Persona","Formulario digital","PROPUESTO","NO","SI","MAESTRO","No se sobrescribe automaticamente."
"telefono","Persona","Formulario digital","PROPUESTO","NO","SI","MAESTRO","Diferencia no bloquea apply SST."
"zona_vivienda","Persona","Formulario digital","PROPUESTO","NO","SI","MAESTRO","Requiere conciliacion contra catalogo."
"tipo_sangre_rh","Registro restringido SST","Formulario digital","NO","NO","SI","SST_RESTRINGIDO","No exportar ni mostrar a TH general."
"contacto_emergencia","Persona contacto emergencia","Formulario digital","SI","NO","SI","MAESTRO","Puede proponer completar vacio."
"eps","Afiliacion vigente","Formulario digital","PROPUESTO","NO","SI","MAESTRO","Solo reconciliacion."
"arl","Afiliacion vigente","Formulario digital","PROPUESTO","NO","SI","MAESTRO","Solo reconciliacion."
"estrato_socioeconomico","SST perfil","Formulario digital/fisico","SI","SI","SI","NORMAL","Dato propio del perfil SST."
"tipo_vivienda","SST perfil","Formulario digital/fisico","SI","SI","SI","NORMAL","Dato propio del perfil SST."
"nivel_escolaridad","SST perfil","Formulario digital/fisico","SI","SI","SI","NORMAL","Puede venir de ambos formularios."
"profesion_ocupacion","SST perfil","Formulario digital/fisico","SI","SI","SI","NORMAL","Dato propio del perfil SST."
"personas_dependen_economicamente","SST perfil","Formulario digital/fisico","SI","SI","SI","NORMAL","Dato propio del perfil SST."
"cabeza_familia","SST perfil","Formulario digital/fisico","SI","SI","SI","NORMAL","Dato propio del perfil SST."
"total_hijos","SST perfil","Formulario digital/fisico","SI","SI","SI","NORMAL","Activa dependencias condicionales."
"hijos_viven_con_usted","SST perfil","Formulario digital/fisico","SI","SI","SI","NORMAL","Condicional cuando total_hijos > 0."
"hijos_menores_edad","SST perfil","Formulario digital/fisico","SI","SI","SI","NORMAL","Condicional cuando total_hijos > 0."
"hijos_mayores_edad","SST perfil","Formulario digital/fisico","SI","SI","SI","NORMAL","Condicional cuando total_hijos > 0."
"tiene_discapacidad","SST perfil restringido","Formulario digital/fisico","SI","SI","SI","SST_RESTRINGIDO","Visible solo para Administrador/SST."
"tipo_discapacidad","SST perfil restringido","Formulario digital/fisico","SI","SI","SI","SST_RESTRINGIDO","Condicional cuando tiene_discapacidad = SI."
"presenta_alergias","SST perfil restringido","Formulario digital/fisico","SI","SI","SI","SST_RESTRINGIDO","No visible a TH general."
"medicamentos_permanentes","SST perfil restringido","Formulario digital/fisico","SI","SI","SI","SST_RESTRINGIDO","No visible a TH general."
"enfermedad","SST perfil restringido","Formulario digital/fisico","SI","SI","SI","SST_RESTRINGIDO","No visible a TH general."
"autorizacion_tratamiento_datos","SST perfil","Formulario digital/fisico","SI","SI","SI","NORMAL","No reemplaza el documento firmado del expediente."
"titulo_obtenido","Futura formacion academica maestra","Formulario adicional","SI","NO","SI","REVISION","No guardar dentro de SST mientras no exista fuente maestra."
"estudia_actualmente","Futura formacion academica maestra","Formulario adicional","SI","NO","SI","REVISION","Debe vivir fuera de SST general."
"programa_actual","Futura formacion academica maestra","Formulario adicional","SI","NO","SI","REVISION","Debe vivir fuera de SST general."
